#timestamp(s) tx ty tz qx qy qz qw
1403636580.763556 0.00037437 0.00022062 0.00141256 -0.03342345 -0.82466882 -0.00379424 0.56461476
1403636580.813555 0.00209659 0.00058913 0.00473736 -0.03288929 -0.81923096 -0.00861838 0.57245494
1403636580.863555 0.00555565 0.00084451 0.00850468 -0.03318757 -0.81311185 -0.01483063 0.58097138
1403636580.913555 0.01167759 -0.00042795 0.01700553 -0.03333133 -0.80645665 -0.02111302 0.58997537
1403636580.963556 0.01978870 -0.00180943 0.01709576 -0.03289756 -0.79995427 -0.02402797 0.59867651
1403636581.013556 0.02207618 0.00458433 0.01367159 -0.03307823 -0.79377806 -0.02534512 0.60677826
1403636581.063555 0.03390157 0.00432784 0.00429815 -0.03301612 -0.78765861 -0.02443533 0.61474122
1403636581.113555 0.04836523 0.00478521 -0.00986600 -0.03423166 -0.78142010 -0.02419767 0.62259561
1403636581.163555 0.06949413 0.00544797 -0.03052544 -0.03873701 -0.77585712 -0.01977155 0.62940787
1403636581.213556 0.09719986 0.00868674 -0.04564179 -0.04369436 -0.77153891 -0.01463346 0.63451112
1403636581.263556 0.06800844 -0.00066039 -0.00331218 -0.04864317 -0.76283039 -0.01153220 0.64466320
1403636581.313555 0.05480313 0.02926110 0.02151497 -0.04761027 -0.75829597 -0.00796688 0.65012077
1403636581.363555 0.08438574 0.02669369 0.04135663 -0.04997687 -0.75701088 -0.00791603 0.65144008
1403636581.413555 0.11848163 0.03553066 0.01900905 -0.04947460 -0.75530525 -0.01160572 0.65339999
1403636581.463556 0.14487476 0.04191001 -0.03534647 -0.04877604 -0.75575483 -0.01319342 0.65290235
1403636581.513556 0.17341438 0.04892811 -0.10031260 -0.04845372 -0.75799705 -0.01431517 0.65029823
1403636581.563555 0.20889922 0.08137792 -0.12712022 -0.04753488 -0.76340326 -0.01319223 0.64403561
1403636581.613555 0.24369638 0.10117782 -0.18075533 -0.04635260 -0.76779653 -0.01086766 0.63892238
1403636581.663555 0.26879162 0.12456250 -0.27995211 -0.05075994 -0.76751814 -0.00466034 0.63899735
1403636581.713556 0.10356909 0.08559365 -0.31163267 -0.05341417 -0.76973837 -0.00740255 0.63607781
1403636581.763556 0.13221468 0.09838724 -0.39716341 -0.05474319 -0.76919799 -0.00385399 0.63664966
1403636581.813555 0.14333824 0.09921496 -0.48489937 -0.05463538 -0.76869850 -0.00018226 0.63727353
1403636581.863555 0.17983976 0.11111658 -0.57598914 -0.05530285 -0.76914066 0.00201605 0.63667902
1403636581.913555 0.14043880 0.14184784 -0.64272221 -0.05792329 -0.76933917 0.01004894 0.63612982
1403636581.963556 0.11824969 0.14372301 -0.70239390 -0.05934004 -0.77314929 0.01085214 0.63134869
1403636582.013556 0.15371449 0.16424635 -0.79251361 -0.06308041 -0.77704229 0.01240893 0.62615665
1403636582.063555 0.19711716 0.18502640 -0.87342171 -0.06405872 -0.78144590 0.01249021 0.62055039
1403636582.113555 0.07962030 0.14213471 -0.67144736 -0.05067024 -0.79460902 0.00303623 0.60499572
1403636582.163555 0.12445488 0.16212740 -0.74702684 -0.05065308 -0.79788937 0.00660375 0.60063567
1403636582.213556 0.07717118 0.15950919 -0.73094201 -0.04957956 -0.79951832 0.01080925 0.59849435
1403636582.263556 0.03655569 0.16664621 -0.77338000 -0.05249841 -0.80111046 0.01393310 0.59604683
